sample_id,path,T
1,Si_In2O3_0.1.csv,0.1
2,Si_In2O3_0.6.csv,0.6
3,Si_In2O3_1.1.csv,1.1
4,Si_In2O3_1.6.csv,1.6
5,Si_In2O3_2.1.csv,2.1
6,Si_In2O3_2.6.csv,2.6
7,Si_In2O3_3.1.csv,3.1
8,Si_In2O3_3.6.csv,3.6
9,Si_In2O3_4.1.csv,4.1
10,Si_In2O3_4.6.csv,4.6
11,Si_In2O3_5.1.csv,5.1
12,Si_In2O3_5.6.csv,5.6
13,Si_In2O3_6.1.csv,6.1
14,Si_In2O3_6.6.csv,6.6
15,Si_In2O3_7.1.csv,7.1
16,Si_In2O3_7.6.csv,7.6
17,Si_In2O3_8.1.csv,8.1
18,Si_In2O3_8.6.csv,8.6
19,Si_In2O3_9.1.csv,9.1
20,Si_In2O3_9.6.csv,9.6
